,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
5169,52221003,1642.0,Fermata 1642 - BERTOLA,V.XX SETTEMBRE / V.BERTOLA,45.06952,7.68223,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1642&stoppingPointCtl:action:getTransits,0
5170,52221004,247.0,Fermata 247 - BERTOLA,V.XX SETTEMBRE / V.BERTOLA,45.06932,7.68204,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=247&stoppingPointCtl:action:getTransits,0
5171,52222002,199.0,Fermata 199 - PORTA PALAZZO,C. REGINA MARGHERITA PRIMA DI P. DELLA REPUBBLICA,45.0771,7.68215,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=199&stoppingPointCtl:action:getTransits,0
5172,52230003,2275.0,Fermata 2275 - RANDACCIO,V.BREGLIO / V.BARACCA,45.09876,7.68235,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=2275&stoppingPointCtl:action:getTransits,0
5173,52266003,85.0,Fermata 85 - ALA DI STURA,C.GROSSETO N.34/A,45.10408,7.68586,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=85&stoppingPointCtl:action:getTransits,0
5174,52274004,774.0,Fermata 774 - CAVOUR,V.ACCADEMIA ALBERTINA / V.CAVOUR,45.06395,7.68713,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=774&stoppingPointCtl:action:getTransits,0
5175,52313007,770.0,Fermata 770 - PO,V. ACCADEMIA ALBERTINA N. 3 C,45.06803,7.69021,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=770&stoppingPointCtl:action:getTransits,0
5176,52321004,206.0,Fermata 206 - GIARDINI REALI,C.REGINA MARGH. / C.REGIO PARCO,45.07467,7.69028,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=206&stoppingPointCtl:action:getTransits,0
5177,52324002,1638.0,Fermata 1638 - REGINA MARGHERITA,C.REGIO PARCO FRONTE CIVICO N. 4,45.07534,7.69067,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1638&stoppingPointCtl:action:getTransits,0
5178,52341004,768.0,Fermata 768 - AUDITORIUM,V. ROSSINI / C. SAN MAURIZIO,45.07114,7.6925,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=768&stoppingPointCtl:action:getTransits,0
